input	reason	matches	symbol	organism.shortName	name	length	secondaryIdentifier	primaryIdentifier	class
HEH2	MATCH	1	HEH2	S. cerevisiae	Helix-Extension-Helix domain	1992	YDR458C	S000002866	ORF
CKB2	MATCH	1	CKB2	S. cerevisiae	Casein Kinase Beta' subunit	777	YOR039W	S000005565	ORF
OLA1	MATCH	1	OLA1	S. cerevisiae	Obg-Like ATPase	1185	YBR025C	S000000229	ORF
YHR078W	MATCH	1		S. cerevisiae		1659	YHR078W	S000001120	ORF
RSF2	MATCH	1	RSF2	S. cerevisiae	ReSpiration Factor	4143	YJR127C	S000003888	ORF
PUP3	MATCH	1	PUP3	S. cerevisiae	PUtative Proteasome subunit	618	YER094C	S000000896	ORF
CSR1	MATCH	1	CSR1	S. cerevisiae	Chs5 Spa2 Rescue	1227	YLR380W	S000004372	ORF
PFS2	MATCH	1	PFS2	S. cerevisiae	Polyadenylation Factor Subunit	1398	YNL317W	S000005261	ORF
GPI10	MATCH	1	GPI10	S. cerevisiae	GlycosylPhosphatidylInositol anchor biosynthesis	1851	YGL142C	S000003110	ORF
YPR117W	MATCH	1	HOB2	S. cerevisiae	ortholog of Drosophila HOBbit	7470	YPR117W	S000006321	ORF
STE6	MATCH	1	STE6	S. cerevisiae	STErile	3873	YKL209C	S000001692	ORF
YNL165W	MATCH	1		S. cerevisiae		1221	YNL165W	S000005109	ORF
DNF1	MATCH	1	DNF1	S. cerevisiae	Drs2 Neo1 Family	4716	YER166W	S000000968	ORF
YOR059C	MATCH	1	LPL1	S. cerevisiae	LD phospholipase	1353	YOR059C	S000005585	ORF
SEH1	MATCH	1	SEH1	S. cerevisiae	SEc13 Homolog	1050	YGL100W	S000003068	ORF
CBP1	MATCH	1	CBP1	S. cerevisiae	Cytochrome B mRNA Processing	1965	YJL209W	S000003745	ORF
SIP3	MATCH	1	SIP3	S. cerevisiae	SNF1-Interacting Protein	3690	YNL257C	S000005201	ORF
SKT5	MATCH	1	SKT5	S. cerevisiae		2091	YBL061C	S000000157	ORF
TDA7	MATCH	1	TDA7	S. cerevisiae	Topoisomerase I Damage Affected	1911	YNL176C	S000005120	ORF
CBR1	MATCH	1	CBR1	S. cerevisiae	Cytochrome b Reductase	855	YIL043C	S000001305	ORF
TDA6	MATCH	1	TDA6	S. cerevisiae	Topoisomerase I Damage Affected	1404	YPR157W	S000006361	ORF
ERV29	MATCH	1	ERV29	S. cerevisiae	ER Vesicle	933	YGR284C	S000003516	ORF
TDA5	MATCH	1	TDA5	S. cerevisiae	Topoisomerase I Damage Affected	1052	YLR426W	S000004418	ORF
TDA1	MATCH	1	TDA1	S. cerevisiae	Topoisomerase I Damage Affected	1761	YMR291W	S000004905	ORF
GDH1	MATCH	1	GDH1	S. cerevisiae	Glutamate DeHydrogenase	1365	YOR375C	S000005902	ORF
GPI16	MATCH	1	GPI16	S. cerevisiae	GlycosylPhosphatidylInositol anchor biosynthesis	1833	YHR188C	S000001231	ORF
GPI11	MATCH	1	GPI11	S. cerevisiae	GlycosylPhosphatidylInositol anchor biosynthesis	660	YDR302W	S000002710	ORF
GPI13	MATCH	1	GPI13	S. cerevisiae	GlycosylPhosphatidylInositol anchor biosynthesis	3054	YLL031C	S000003954	ORF
TDA9	MATCH	1	TDA9	S. cerevisiae	Topoisomerase I Damage Affected	3756	YML081W	S000004546	ORF
SKS1	MATCH	1	SKS1	S. cerevisiae	Suppressor Kinase of SNF3	1509	YPL026C	S000005947	ORF
NBP1	MATCH	1	NBP1	S. cerevisiae	Nap1 Binding Protein	960	YLR457C	S000004449	ORF
NBP2	MATCH	1	NBP2	S. cerevisiae	Nap1 Binding Protein	711	YDR162C	S000002569	ORF
RBD2	MATCH	1	RBD2	S. cerevisiae		789	YPL246C	S000006167	ORF
AZF1	MATCH	1	AZF1	S. cerevisiae	Asparagine-rich Zinc-Finger	2745	YOR113W	S000005639	ORF
ERV25	MATCH	1	ERV25	S. cerevisiae	ER Vesicle	636	YML012W	S000004473	ORF
HIR2	MATCH	1	HIR2	S. cerevisiae	HIstone Regulation	2628	YOR038C	S000005564	ORF
HIR3	MATCH	1	HIR3	S. cerevisiae	HIstone Regulation	4947	YJR140C	S000003901	ORF
BAT2	MATCH	1	BAT2	S. cerevisiae	Branched-chain Amino acid Transaminase	1131	YJR148W	S000003909	ORF
NST1	MATCH	1	NST1	S. cerevisiae	Negatively affects Salt Tolerance	3723	YNL091W	S000005035	ORF
SRC1	MATCH	1	SRC1	S. cerevisiae	Spliced mRNA and Cell cycle regulated gene	2631	YML034W	S000004497	ORF
YNL295W	MATCH	1	MRX6	S. cerevisiae	Mitochondrial oRganization of gene eXpression (MIOREX)	1575	YNL295W	S000005239	ORF
AIF1	MATCH	1	AIF1	S. cerevisiae	Apoptosis-Inducing Factor	1137	YNR074C	S000005357	ORF
CST6	MATCH	1	CST6	S. cerevisiae	Chromosome STability	1764	YIL036W	S000001298	ORF
POF1	MATCH	1	POF1	S. cerevisiae	Promoter Of Filamentation	777	YCL047C	S000000552	ORF
QRI1	MATCH	1	QRI1	S. cerevisiae		1434	YDL103C	S000002261	ORF
RTT105	MATCH	1	RTT105	S. cerevisiae	Regulator of Ty1 Transposition	627	YER104W	S000000906	ORF
VID30	MATCH	1	VID30	S. cerevisiae	Vacuolar Import and Degradation	2877	YGL227W	S000003196	ORF
RTT106	MATCH	1	RTT106	S. cerevisiae	Regulator of Ty1 Transposition	1368	YNL206C	S000005150	ORF
AMN1	MATCH	1	AMN1	S. cerevisiae	Antagonist of Mitotic exit Network	1650	YBR158W	S000000362	ORF
SGN1	MATCH	1	SGN1	S. cerevisiae	Slower Growth on Non-fermentable carbon sources	753	YIR001C	S000001440	ORF
RTT107	MATCH	1	RTT107	S. cerevisiae	Regulator of Ty1 Transposition	3213	YHR154W	S000001197	ORF
SAP155	MATCH	1	SAP155	S. cerevisiae	Sit4 Associated Protein	3009	YFR040W	S000001936	ORF
HRD1	MATCH	1	HRD1	S. cerevisiae	HMG-coA Reductase Degradation	1656	YOL013C	S000005373	ORF
DLD3	MATCH	1	DLD3	S. cerevisiae	D-Lactate Dehydrogenase	1491	YEL071W	S000000797	ORF
RTT109	MATCH	1	RTT109	S. cerevisiae	Regulator of Ty1 Transposition	1311	YLL002W	S000003925	ORF
SIR4	MATCH	1	SIR4	S. cerevisiae	Silent Information Regulator	4077	YDR227W	S000002635	ORF
DAM1	MATCH	1	DAM1	S. cerevisiae	Duo1 And Mps1 interacting	1032	YGR113W	S000003345	ORF
SCD6	MATCH	1	SCD6	S. cerevisiae	Suppressor of Clathrin Deficiency	1050	YPR129W	S000006333	ORF
ABZ1	MATCH	1	ABZ1	S. cerevisiae	para-AminoBenZoic acid (PABA) biosynthesis	2364	YNR033W	S000005316	ORF
BCY1	MATCH	1	BCY1	S. cerevisiae	Bypass of CYclic-AMP requirement	1251	YIL033C	S000001295	ORF
HAA1	MATCH	1	HAA1	S. cerevisiae	Homolog of Ace1 Activator	2085	YPR008W	S000006212	ORF
PMA1	MATCH	1	PMA1	S. cerevisiae	Plasma Membrane ATPase	2757	YGL008C	S000002976	ORF
CIA1	MATCH	1	CIA1	S. cerevisiae	Cytosolic Iron-sulfur protein Assembly	993	YDR267C	S000002675	ORF
YCL048W-A	MATCH	1		S. cerevisiae		240	YCL048W-A	S000087203	ORF
MLH3	MATCH	1	MLH3	S. cerevisiae	MutL Homolog	2148	YPL164C	S000006085	ORF
MAS2	MATCH	1	MAS2	S. cerevisiae	Mitochondrial ASsembly	1449	YHR024C	S000001066	ORF
SMY1	MATCH	1	SMY1	S. cerevisiae	Suppressor of MYo2-66	1971	YKL079W	S000001562	ORF
SMY2	MATCH	1	SMY2	S. cerevisiae	Suppressor of MYo2-66	2223	YBR172C	S000000376	ORF
DAN4	MATCH	1	DAN4	S. cerevisiae	Delayed ANaerobic	3486	YJR151C	S000003912	ORF
YMR122W-A	MATCH	1	NCW1	S. cerevisiae	Novel Cell Wall protein	255	YMR122W-A	S000007524	ORF
PDR16	MATCH	1	PDR16	S. cerevisiae	Pleiotropic Drug Resistance	1056	YNL231C	S000005175	ORF
OTU1	MATCH	1	OTU1	S. cerevisiae	Ovarian TUmor	906	YFL044C	S000001850	ORF
HCH1	MATCH	1	HCH1	S. cerevisiae	High-Copy Hsp90 suppressor	462	YNL281W	S000005225	ORF
YCR043C	MATCH	1		S. cerevisiae		384	YCR043C	S000000639	ORF
MPS1	MATCH	1	MPS1	S. cerevisiae	MonoPolar Spindle	2295	YDL028C	S000002186	ORF
MPS2	MATCH	1	MPS2	S. cerevisiae	MonoPolar Spindle	1164	YGL075C	S000003043	ORF
LOT5	MATCH	1	LOT5	S. cerevisiae	LOw Temperature-responsive	921	YKL183W	S000001666	ORF
SPA2	MATCH	1	SPA2	S. cerevisiae	Spindle Pole Antigen	4401	YLL021W	S000003944	ORF
CWC25	MATCH	1	CWC25	S. cerevisiae	Complexed With Cef1p	540	YNL245C	S000005189	ORF
OLE1	MATCH	1	OLE1	S. cerevisiae	OLEic acid requiring	1533	YGL055W	S000003023	ORF
PDS5	MATCH	1	PDS5	S. cerevisiae	Precocious Dissociation of Sisters	3834	YMR076C	S000004681	ORF
oct-01	MATCH	1	oct-01	S. cerevisiae	OCTapeptidyl aminopeptidase	2319	YKL134C	S000001617	ORF
SIT1	MATCH	1	SIT1	S. cerevisiae	Siderophore Iron Transport	1887	YEL065W	S000000791	ORF
PDS1	MATCH	1	PDS1	S. cerevisiae	Precocious Dissociation of Sisters	1122	YDR113C	S000002520	ORF
YLR312C	MATCH	1	ATG39	S. cerevisiae	AuTophaGy related	1197	YLR312C	S000004303	ORF
YLR118C	MATCH	1	TML25	S. cerevisiae	acyl-protein Thioesterase with Multiple Localizations, protein of 25 kDa	684	YLR118C	S000004108	ORF
MNN1	MATCH	1	MNN1	S. cerevisiae	MaNNosyltransferase	2289	YER001W	S000000803	ORF
MNN2	MATCH	1	MNN2	S. cerevisiae	MaNNosyltransferase	1794	YBR015C	S000000219	ORF
HEK2	MATCH	1	HEK2	S. cerevisiae	HEterogeneous nuclear rnp K-like gene	1146	YBL032W	S000000128	ORF
ALG14	MATCH	1	ALG14	S. cerevisiae	Asparagine Linked Glycosylation	714	YBR070C	S000000274	ORF
TRM11	MATCH	1	TRM11	S. cerevisiae	TRna Methyltransferase	1302	YOL124C	S000005484	ORF
ALG12	MATCH	1	ALG12	S. cerevisiae	Asparagine-Linked Glycosylation	1656	YNR030W	S000005313	ORF
ALG11	MATCH	1	ALG11	S. cerevisiae	Asparagine-Linked Glycosylation	1647	YNL048W	S000004993	ORF
MNN5	MATCH	1	MNN5	S. cerevisiae	MaNNosyltransferase	1761	YJL186W	S000003722	ORF
POG1	MATCH	1	POG1	S. cerevisiae	Promoter Of Growth	1056	YIL122W	S000001384	ORF
STH1	MATCH	1	STH1	S. cerevisiae	SNF Two Homolog	4080	YIL126W	S000001388	ORF
SVL3	MATCH	1	SVL3	S. cerevisiae	Styryl dye Vacuolar Localization	2478	YPL032C	S000005953	ORF
ESP1	MATCH	1	ESP1	S. cerevisiae	Extra Spindle Pole bodies	4893	YGR098C	S000003330	ORF
SGO1	MATCH	1	SGO1	S. cerevisiae	"ShuGOshin (Japanese for ""guardian spirit"")"	1773	YOR073W	S000005599	ORF
PDR3	MATCH	1	PDR3	S. cerevisiae	Pleiotropic Drug Resistance	2931	YBL005W	S000000101	ORF
YDL119C	MATCH	1	HEM25	S. cerevisiae	HEMe synthesis by SLC25 family member	924	YDL119C	S000002277	ORF
PDR5	MATCH	1	PDR5	S. cerevisiae	Pleiotropic Drug Resistance	4536	YOR153W	S000005679	ORF
SIS2	MATCH	1	SIS2	S. cerevisiae	SIt4 Suppressor	1689	YKR072C	S000001780	ORF
FRK1	MATCH	1	FRK1	S. cerevisiae	Fatty acyl-CoA synthetase and RNA processing-associated Kinase	2598	YPL141C	S000006062	ORF
PDR1	MATCH	1	PDR1	S. cerevisiae	Pleiotropic Drug Resistance	3207	YGL013C	S000002981	ORF
HPA3	MATCH	1	HPA3	S. cerevisiae	Histone and other Protein Acetyltransferase	486	YEL066W	S000000792	ORF
PDR8	MATCH	1	PDR8	S. cerevisiae	Pleiotropic Drug Resistance	2106	YLR266C	S000004256	ORF
FET5	MATCH	1	FET5	S. cerevisiae	FErrous Transport	1869	YFL041W	S000001853	ORF
YOR093C	MATCH	1	CMR2	S. cerevisiae	Changed Mutation Rate	4947	YOR093C	S000005619	ORF
FYV10	MATCH	1	FYV10	S. cerevisiae	Function required for Yeast Viability	1551	YIL097W	S000001359	ORF
YLR342W-A	MATCH	1		S. cerevisiae		174	YLR342W-A	S000028571	ORF
PSR1	MATCH	1	PSR1	S. cerevisiae	Plasma membrane Sodium Response	1284	YLL010C	S000003933	ORF
URA2	MATCH	1	URA2	S. cerevisiae	URAcil requiring	6645	YJL130C	S000003666	ORF
BFA1	MATCH	1	BFA1	S. cerevisiae	Byr-Four-Alike	1725	YJR053W	S000003814	ORF
PFY1	MATCH	1	PFY1	S. cerevisiae	ProFilin of Yeast	590	YOR122C	S000005648	ORF
ROD1	MATCH	1	ROD1	S. cerevisiae	Resistance to O-Dinitrobenzene	2514	YOR018W	S000005544	ORF
HXT3	MATCH	1	HXT3	S. cerevisiae	HeXose Transporter	1704	YDR345C	S000002753	ORF
MFA2	MATCH	1	MFA2	S. cerevisiae	Mating Factor A	117	YNL145W	S000005089	ORF
SRG1	MATCH	1	SRG1		SER3 Regulatory Gene		YNCE0017W	S000029010	NcRNAGene
GSM1	MATCH	1	GSM1	S. cerevisiae	Glucose Starvation Modulator	1857	YJL103C	S000003639	ORF
SCJ1	MATCH	1	SCJ1	S. cerevisiae	S. Cerevisiae DnaJ	1134	YMR214W	S000004827	ORF
URA5	MATCH	1	URA5	S. cerevisiae	URAcil requiring	681	YML106W	S000004574	ORF
UIP5	MATCH	1	UIP5	S. cerevisiae	Ulp1 Interacting Protein	1332	YKR044W	S000001752	ORF
DCW1	MATCH	1	DCW1	S. cerevisiae	Defective Cell Wall	1350	YKL046C	S000001529	ORF
IDH1	MATCH	1	IDH1	S. cerevisiae	Isocitrate DeHydrogenase	1083	YNL037C	S000004982	ORF
IDH2	MATCH	1	IDH2	S. cerevisiae	Isocitrate DeHydrogenase	1110	YOR136W	S000005662	ORF
ARO10	MATCH	1	ARO10	S. cerevisiae	AROmatic amino acid requiring	1908	YDR380W	S000002788	ORF
GWT1	MATCH	1	GWT1	S. cerevisiae	GPI-anchored Wall protein Transfer	1473	YJL091C	S000003627	ORF
COQ8	MATCH	1	COQ8	S. cerevisiae	COenzyme Q	1506	YGL119W	S000003087	ORF
COQ5	MATCH	1	COQ5	S. cerevisiae	COenzyme Q	924	YML110C	S000004578	ORF
YHR162W	MATCH	1	MPC2	S. cerevisiae	Mitochondrial Pyruvate Carrier	390	YHR162W	S000001205	ORF
FRM2	MATCH	1	FRM2	S. cerevisiae	Fatty acid Repression Mutant	582	YCL026C-A	S000000589	ORF
PBP2	MATCH	1	PBP2	S. cerevisiae	Pbp1p Binding Protein	1242	YBR233W	S000000437	ORF
COQ2	MATCH	1	COQ2	S. cerevisiae	COenzyme Q	1119	YNR041C	S000005324	ORF
SKY1	MATCH	1	SKY1	S. cerevisiae	SRPK1-like Kinase in Yeast	2229	YMR216C	S000004829	ORF
TDH2	MATCH	1	TDH2	S. cerevisiae	Triose-phosphate DeHydrogenase	999	YJR009C	S000003769	ORF
FET3	MATCH	1	FET3	S. cerevisiae	FErrous Transport	1911	YMR058W	S000004662	ORF
POL2	MATCH	1	POL2	S. cerevisiae	POLymerase	6669	YNL262W	S000005206	ORF
MUS81	MATCH	1	MUS81	S. cerevisiae	MMS and UV Sensitive	1899	YDR386W	S000002794	ORF
SPO16	MATCH	1	SPO16	S. cerevisiae	SPOrulation	597	YHR153C	S000001196	ORF
TUL1	MATCH	1	TUL1	S. cerevisiae	Transmembrane Ubiquitin Ligase	2277	YKL034W	S000001517	ORF
POL1	MATCH	1	POL1	S. cerevisiae	POLymerase	4407	YNL102W	S000005046	ORF
POL3	MATCH	1	POL3	S. cerevisiae	POLymerase	3294	YDL102W	S000002260	ORF
SPO12	MATCH	1	SPO12	S. cerevisiae	SPOrulation	522	YHR152W	S000001195	ORF
PST1	MATCH	1	PST1	S. cerevisiae	Protoplasts-SecreTed	1335	YDR055W	S000002462	ORF
YBR139W	MATCH	1	ATG42	S. cerevisiae	AuTophaGy	1527	YBR139W	S000000343	ORF
NIF3	MATCH	1	NIF3	S. cerevisiae	Ngg1p-Interacting Factor	867	YGL221C	S000003189	ORF
SPE3	MATCH	1	SPE3	S. cerevisiae	SPErmidine auxotroph	882	YPR069C	S000006273	ORF
INP51	MATCH	1	INP51	S. cerevisiae	INositol polyphosphate 5-Phosphatase	2841	YIL002C	S000001264	ORF
YIF1	MATCH	1	YIF1	S. cerevisiae	YIP1-Interacting Factor	945	YNL263C	S000005207	ORF
QCR7	MATCH	1	QCR7	S. cerevisiae	ubiQuinol-cytochrome C oxidoReductase	384	YDR529C	S000002937	ORF
SGT2	MATCH	1	SGT2	S. cerevisiae	Small Glutamine-rich Tetratricopeptide repeat-containing protein	1041	YOR007C	S000005533	ORF
BNS1	MATCH	1	BNS1	S. cerevisiae	Bypasses Need for Spo12p	414	YGR230W	S000003462	ORF
QCR2	MATCH	1	QCR2	S. cerevisiae	QH2:cytochrome-C oxidoReductase	1107	YPR191W	S000006395	ORF
MNT2	MATCH	1	MNT2	S. cerevisiae	MaNnosylTransferase	1677	YGL257C	S000003226	ORF
HCM1	MATCH	1	HCM1	S. cerevisiae	High-Copy suppressor of Calmodulin	1695	YCR065W	S000000661	ORF
AIM9	MATCH	1	AIM9	S. cerevisiae	Altered Inheritance rate of Mitochondria	1884	YER080W	S000000882	ORF
EST1	MATCH	1	EST1	S. cerevisiae	Ever Shorter Telomeres	2100	YLR233C	S000004223	ORF
PKC1	MATCH	1	PKC1	S. cerevisiae	Protein Kinase C	3456	YBL105C	S000000201	ORF
MFB1	MATCH	1	MFB1	S. cerevisiae	Mitochondria-associated F-Box protein	1398	YDR219C	S000002627	ORF
RMA1	MATCH	1	RMA1	S. cerevisiae	Reduced Mating A	1293	YKL132C	S000001615	ORF
DNM1	MATCH	1	DNM1	S. cerevisiae	DyNaMin-related	2274	YLL001W	S000003924	ORF
AIM6	MATCH	1	AIM6	S. cerevisiae	Altered Inheritance rate of Mitochondria	1173	YDL237W	S000002396	ORF
ICP55	MATCH	1	ICP55	S. cerevisiae	Intermediate Cleaving Peptidase	1536	YER078C	S000000880	ORF
AIM2	MATCH	1	AIM2	S. cerevisiae	Altered Inheritance rate of Mitochondria	741	YAL049C	S000000047	ORF
SGS1	MATCH	1	SGS1	S. cerevisiae	Slow Growth Suppressor	4344	YMR190C	S000004802	ORF
FLC1	MATCH	1	FLC1	S. cerevisiae	FLavin Carrier	2382	YPL221W	S000006142	ORF
FLC3	MATCH	1	FLC3	S. cerevisiae	FLavin Carrier	2409	YGL139W	S000003107	ORF
RFT1	MATCH	1	RFT1	S. cerevisiae	Requiring Fifty-Three	1725	YBL020W	S000000116	ORF
TBF1	MATCH	1	TBF1	S. cerevisiae	TTAGGG repeat-Binding Factor	1689	YPL128C	S000006049	ORF
VAC14	MATCH	1	VAC14	S. cerevisiae	VACuole morphology and inheritance mutant	2643	YLR386W	S000004378	ORF
YHL026C	MATCH	1		S. cerevisiae		948	YHL026C	S000001018	ORF
AXL2	MATCH	1	AXL2	S. cerevisiae	AXiaL 2 bud site selection	2472	YIL140W	S000001402	ORF
VAC17	MATCH	1	VAC17	S. cerevisiae	VACuole related	1272	YCL063W	S000000568	ORF
SVS1	MATCH	1	SVS1	S. cerevisiae	Suppressor of Vanadate Sensitivity	783	YPL163C	S000006084	ORF
RMD8	MATCH	1	RMD8	S. cerevisiae	Required for Meiotic nuclear Division	1989	YFR048W	S000001944	ORF
RMD5	MATCH	1	RMD5	S. cerevisiae	Required for Meiotic nuclear Division	1266	YDR255C	S000002663	ORF
IRC18	MATCH	1	IRC18	S. cerevisiae	Increased Recombination Centers	675	YJL037W	S000003574	ORF
LCB3	MATCH	1	LCB3	S. cerevisiae	Long-Chain Base	1230	YJL134W	S000003670	ORF
SNC1	MATCH	1	SNC1	S. cerevisiae	Suppressor of the Null allele of CAP	467	YAL030W	S000000028	ORF
ACB1	MATCH	1	ACB1	S. cerevisiae	Acyl-CoA-Binding	264	YGR037C	S000003269	ORF
IQG1	MATCH	1	IQG1	S. cerevisiae	IQGAP-related protein	4488	YPL242C	S000006163	ORF
YIH1	MATCH	1	YIH1	S. cerevisiae	Yeast Impact Homolog	777	YCR059C	S000000655	ORF
IRC20	MATCH	1	IRC20	S. cerevisiae	Increased Recombination Centers	4671	YLR247C	S000004237	ORF
OYE2	MATCH	1	OYE2	S. cerevisiae	Old Yellow Enzyme	1203	YHR179W	S000001222	ORF
YBR138C	MATCH	1		S. cerevisiae		1575	YBR138C	S000000342	ORF
YLR446W	MATCH	1		S. cerevisiae		1302	YLR446W	S000004438	ORF
COT1	MATCH	1	COT1	S. cerevisiae	CObalt Toxicity	1320	YOR316C	S000005843	ORF
IRC24	MATCH	1	IRC24	S. cerevisiae	Increased Recombination Centers	792	YIR036C	S000001475	ORF
RDS2	MATCH	1	RDS2	S. cerevisiae	Regulator of Drug Sensitivity	1341	YPL133C	S000006054	ORF
AKR1	MATCH	1	AKR1	S. cerevisiae	AnKyrin Repeat containing	2295	YDR264C	S000002672	ORF
OPT2	MATCH	1	OPT2	S. cerevisiae	OligoPeptide Transporter	2634	YPR194C	S000006398	ORF
OPT1	MATCH	1	OPT1	S. cerevisiae	OligoPeptide Transporter	2400	YJL212C	S000003748	ORF
BUB3	MATCH	1	BUB3	S. cerevisiae	Budding Uninhibited by Benzimidazole	1026	YOR026W	S000005552	ORF
GDT1	MATCH	1	GDT1	S. cerevisiae	Gcr1 Dependent Translation factor	843	YBR187W	S000000391	ORF
BUB2	MATCH	1	BUB2	S. cerevisiae	Budding Uninhibited by Benzimidazole	921	YMR055C	S000004659	ORF
JEM1	MATCH	1	JEM1	S. cerevisiae	DnaJ-like protein of the ER Membrane	1938	YJL073W	S000003609	ORF
BUB1	MATCH	1	BUB1	S. cerevisiae	Budding Uninhibited by Benzimidazole	3066	YGR188C	S000003420	ORF
ZPS1	MATCH	1	ZPS1	S. cerevisiae	Zinc- and pH-regulated Surface protein	750	YOL154W	S000005514	ORF
FUN26	MATCH	1	FUN26	S. cerevisiae	Function Unknown Now	1554	YAL022C	S000000020	ORF
TUM1	MATCH	1	TUM1	S. cerevisiae	ThioUridine Modification	915	YOR251C	S000005777	ORF
STN1	MATCH	1	STN1	S. cerevisiae	Suppressor of cdc ThirteeN	1485	YDR082W	S000002489	ORF
SPO21	MATCH	1	SPO21	S. cerevisiae	SPOrulation	1830	YOL091W	S000005451	ORF
YHR182W	MATCH	1	RGD3	S. cerevisiae		2358	YHR182W	S000001225	ORF
ACC1	MATCH	1	ACC1	S. cerevisiae	Acetyl-CoA Carboxylase	6702	YNR016C	S000005299	ORF
SPF1	MATCH	1	SPF1	S. cerevisiae	Sensitivity to Pichia Farinosa killer toxin	3648	YEL031W	S000000757	ORF
UTH1	MATCH	1	UTH1	S. cerevisiae	yoUTH	1098	YKR042W	S000001750	ORF
IRC11	MATCH	1	IRC11	S. cerevisiae	Increased Recombination Centers	471	YOR013W	S000005539	ORF
YPT11	MATCH	1	YPT11	S. cerevisiae	Yeast Protein Two	1254	YNL304W	S000005248	ORF
CBP1	OTHER	1	CBP1	S. cerevisiae	Cytochrome B mRNA Processing	1965	YJL209W	S000003745	ORF
FIR1	OTHER	1	FIR1	S. cerevisiae	Factor Interacting with REF2	2631	YER032W	S000000834	ORF
IAH1	OTHER	1	IAH1	S. cerevisiae	Isoamyl Acetate-Hydrolyzing esterase	717	YOR126C	S000005652	ORF
TUB4	OTHER	1	TUB4	S. cerevisiae	TUBulin	1422	YLR212C	S000004202	ORF
URA2	OTHER	1	URA2	S. cerevisiae	URAcil requiring	6645	YJL130C	S000003666	ORF
CSE1	OTHER	1	CSE1	S. cerevisiae	Chromosome SEgregation	2883	YGL238W	S000003207	ORF
SNF2	OTHER	1	SNF2	S. cerevisiae	Sucrose NonFermenting	5112	YOR290C	S000005816	ORF
YPR099C	OTHER	1		S. cerevisiae		357	YPR099C	S000006303	ORF
YIR043C	OTHER	1		S. cerevisiae			YIR043C	S000001482	BlockedReadingFrame
SRG1	OTHER	1	SRG1		SER3 Regulatory Gene		YNCE0017W	S000029010	NcRNAGene
CLN2	OTHER	1	CLN2	S. cerevisiae	CycLiN	1638	YPL256C	S000006177	ORF
SCW4	OTHER	1	SCW4	S. cerevisiae	Soluble Cell Wall protein	1161	YGR279C	S000003511	ORF
BNA6	OTHER	1	BNA6	S. cerevisiae	Biosynthesis of Nicotinic Acid	888	YFR047C	S000001943	ORF
UAF30	OTHER	1	UAF30	S. cerevisiae	Upstream Activation Factor subunit	687	YOR295W	S000005821	ORF
GRX8	OTHER	1	GRX8	S. cerevisiae	GlutaRedoXin	330	YLR364W	S000004356	ORF
TPO2	OTHER	1	TPO2	S. cerevisiae	Transporter of POlyamines	1845	YGR138C	S000003370	ORF
INP51	OTHER	1	INP51	S. cerevisiae	INositol polyphosphate 5-Phosphatase	2841	YIL002C	S000001264	ORF
TDA6	OTHER	1	TDA6	S. cerevisiae	Topoisomerase I Damage Affected	1404	YPR157W	S000006361	ORF
SSP120	OTHER	1	SSP120	S. cerevisiae	Saccharomyces Secretory Protein	705	YLR250W	S000004240	ORF
RAS1	OTHER	1	RAS1	S. cerevisiae	homologous to RAS proto-oncogene	930	YOR101W	S000005627	ORF
GYP6	OTHER	1	GYP6	S. cerevisiae	Gtpase-activating protein of Ypt6 Protein	1377	YJL044C	S000003580	ORF
YMR001C-A	OTHER	1		S. cerevisiae		231	YMR001C-A	S000028691	ORF
IST2	OTHER	1	IST2	S. cerevisiae	Increased Sodium Tolerance	2841	YBR086C	S000000290	ORF
EFB1	OTHER	1	EFB1	S. cerevisiae	Elongation Factor Beta	987	YAL003W	S000000003	ORF
SPC42	OTHER	1	SPC42	S. cerevisiae	Spindle Pole Component	1092	YKL042W	S000001525	ORF
RPL18B	OTHER	1	RPL18B	S. cerevisiae	Ribosomal Protein of the Large subunit	993	YNL301C	S000005245	ORF
BNI5	OTHER	1	BNI5	S. cerevisiae	Bud Neck Involved	1347	YNL166C	S000005110	ORF
SHS1	OTHER	1	SHS1	S. cerevisiae	Seventh Homolog of Septin	1656	YDL225W	S000002384	ORF
VPS17	OTHER	1	VPS17	S. cerevisiae	Vacuolar Protein Sorting	1656	YOR132W	S000005658	ORF
SML1	OTHER	1	SML1	S. cerevisiae	Suppressor of Mec1 Lethality	315	YML058W	S000004523	ORF
SFH1	OTHER	1	SFH1	S. cerevisiae	Snf Five Homolog	1281	YLR321C	S000004313	ORF
ERP1	OTHER	1	ERP1	S. cerevisiae	Emp24p/Erv25p Related Protein	660	YAR002C-A	S000002129	ORF
FAT1	OTHER	1	FAT1	S. cerevisiae	FATty acid transporter	2010	YBR041W	S000000245	ORF
CUR1	OTHER	1	CUR1	S. cerevisiae	Curing of [URe3]	759	YPR158W	S000006362	ORF
ACS2	OTHER	1	ACS2	S. cerevisiae	Acetyl CoA Synthetase	2052	YLR153C	S000004143	ORF
NGL1	OTHER	1	NGL1	S. cerevisiae		1092	YOL042W	S000005402	ORF
CDC11	OTHER	1	CDC11	S. cerevisiae	Cell Division Cycle	1248	YJR076C	S000003837	ORF
YOR105W	OTHER	1		S. cerevisiae		327	YOR105W	S000005631	ORF
YGR153W	OTHER	1		S. cerevisiae		654	YGR153W	S000003385	ORF
